Case Number,Month_classifier,Year_classified,Type_classified,Country_classified,Area,Location,Activity_classified,Sex_classified,Investigator or Source,pdf,href formula,href,Case Number.1,Case Number.2,original order,Fatal_classified
1997.07.17,July,1997,Unprovoked,Brazil,Pernambuco,"Boa Viagem, Recife",Surfing,M,JCOnline,1997.07.17.b-Albuquerque.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.07.17.b-Albuquerque.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.07.17.b-Albuquerque.pdf,1997.07.17,1997.07.17,4060.0,No
1997.07.14,July,1997,Unprovoked,Usa,South Carolina,"Myrtle Beach, Horry County",Standing,M,"Charlotte Observer, 7/17/1997, p.2C; C. Creswell, GSAF",1997.07.14-Cowden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.07.14-Cowden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.07.14-Cowden.pdf,1997.07.14,1997.07.14,4059.0,No
1997.07.12,July,1997,Unprovoked,Okinawa,Miyako,Hirara,Fishing,M,"Okinawa Weekly Times, 7/19/1997 editon; Ryukyu Shrimpo News (Japan)",1997.07.12-Nakachi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.07.12-Nakachi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.07.12-Nakachi.pdf,1997.07.12,1997.07.12,4058.0,Yes
1997.07.02.R,July,1997,Unprovoked,Brazil,Pernambuco,Paiva,Surfing,No specified,"D. Duarte; Globo, 7/2/1997",1997.07.02-Jurandir.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.07.02-Jurandir.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.07.02-Jurandir.pdf,1997.07.02.R,1997.07.02.R,4057.0,No
1997.06.24,June,1997,Unprovoked,Usa,Hawaii,"Sunset Beach, Oahu",Spearfishingnightdiving,M,Hawaii Department of Land and Natural Resources,1997.06.24-Molina.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.06.24-Molina.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.06.24-Molina.pdf,1997.06.24,1997.06.24,4056.0,No
1997.06.15,June,1997,Unprovoked,Fiji,Taveuni,Off a small island 5 km from Garden Island Resort,Snorkeling,F,"R. D. Weeks, GSAF; Otago Daily Times, 6/17/1997, p.2; Sport Diver Magazine, Dec97/Jan98, p.8",1997.06.15-LizRogers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.06.15-LizRogers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.06.15-LizRogers.pdf,1997.06.15,1997.06.15,4055.0,No
1997.06.09,June,1997,Unprovoked,Usa,Florida,Palm Beach County,Surfing,M,"Palm Beach Post, 6/12/1997",1997.06.09-Massey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.06.09-Massey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.06.09-Massey.pdf,1997.06.09,1997.06.09,4054.0,No
1997.06.07,June,1997,Unprovoked,Brazil,Rio de Janeiro,"Copacabana, Rio de Janeiro",Bathing,M,"Globo, 6/9/1997",1997.06.07-NV-Lipiani.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.06.07-NV-Lipiani.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.06.07-NV-Lipiani.pdf,1997.06.07,1997.06.07,4053.0,No
1997.06.02,June,1997,Unprovoked,Usa,Florida,"Daytona Beach Shores,  Volusia County",Bodysurfing,M,"S. Petersohn, GSAF; D. Treen; Florida Times-Union, 6/3/1997; Miami Herald, 6/3/1997",1997.06.02-Amelio.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.06.02-Amelio.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.06.02-Amelio.pdf,1997.06.02,1997.06.02,4052.0,No
1997.05.31.c,May,1997,Unprovoked,Usa,Florida,In Gulf of Mexico 17 miles off Weeki Wachee ,Spearfishing,M,"R. Nelson, St. Petersburg Times, 6/6/1997",1997.05.31.c-Medvec.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.05.31.c-Medvec.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.05.31.c-Medvec.pdf,1997.05.31.c,1997.05.31.c,4051.0,No
1997.05.31.b,May,1997,Unprovoked,Usa,Florida,"Flagler Beach, Flagler County",Surfing,M,"A. Mikula, Daytona Beach News-Journal, 6/1/199,  p.2C",1997.05.31.b-Fuller.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.05.31.b-Fuller.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.05.31.b-Fuller.pdf,1997.05.31.b,1997.05.31.b,4050.0,No
1997.05.31.a,May,1997,Unprovoked,Usa,Florida,"Flagler Beach, Flagler County",Surfing,M,"A. Mikula, Daytona Beach News-Journal, 6/1/1997, p.2C",1997.05.31.a-Bowden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.05.31.a-Bowden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.05.31.a-Bowden.pdf,1997.05.31.a,1997.05.31.a,4049.0,No
1997.05.26,May,1997,Unprovoked,Bahamas,Abaco Islands,Powell Cay,Spearfishing,M,"The Mirror (London); Orlando Sentinel, 5/28, 1997, p.C3",1997.05.26-Wood.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.05.26-Wood.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.05.26-Wood.pdf,1997.05.26,1997.05.26,4048.0,No
1997.05.17,May,1997,Unprovoked,Bahamas,Abaco Islands,Walkers Cay,Spearfishing,M,"Miami Herald, 5/18/1997",1997.05.17-Gunn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.05.17-Gunn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.05.17-Gunn.pdf,1997.05.17,1997.05.17,4047.0,No
1997.04.20,April,1997,Unprovoked,Brazil,Rio de Janeiro,"Manguinhos, Ilha Feia, Búzios",Windsurfing,M,"O. Gadig; Globo, 4/24/1997",1997.04.20-Leao.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.04.20-Leao.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.04.20-Leao.pdf,1997.04.20,1997.04.20,4046.0,No
1997.02.28.b,February,1997,Unprovoked,Australia,Queensland,"Carrara, Nerang River",Swimming,F,"The Advertiser, 3/1/1997, p.12",1997.02.28.b-Salmon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.02.28.b-Salmon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.02.28.b-Salmon.pdf,1997.02.28.b,1997.02.28.b,4045.0,No
1997.02.28.a,February,1997,Unprovoked,Australia,Queensland,Whitsunday Passage,Scubadiving,M,"The Advertiser, 3/1/1997, p.12",1997.02.28.a-Rauch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.02.28.a-Rauch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.02.28.a-Rauch.pdf,1997.02.28.a,1997.02.28.a,4044.0,No
1997.02.21,February,1997,Unprovoked,Usa,Hawaii,"Sunset Beach, O'ahu",not specified,M,G. Balazs,1997.02.21-NV-Perreno.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.02.21-NV-Perreno.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.02.21-NV-Perreno.pdf,1997.02.21,1997.02.21,4043.0,No
1997.02.20,February,1997,Unprovoked,Reunion,L'Etang-Sale,Not specified,not specified,M,"LeQuotidien, 12/4/1999",1997.02.20-Lebon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.02.20-Lebon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.02.20-Lebon.pdf,1997.02.20,1997.02.20,4042.0,No
1997.02.03,February,1997,Something in a boat activitie,Australia,New South Wales,"Iron Cove, Sydney",Rowing,F,"J. Delvecchio & D. Sygall, Sydney Morning Herald, 2/4/1997, p.2",1997.02.03-Mocsari.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.02.03-Mocsari.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.02.03-Mocsari.pdf,1997.02.03,1997.02.03,4041.0,No
1997.01.25,January,1997,Unprovoked,Australia,Queensland,"Whitehaven Beach, Whitsundays Island",Snorkeling,M,"Sunday Mail (QLD), 1/26/1997, p.2; Hobart Mercury, 1/27/1997, p.2",1997.01.25-Burrows.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.01.25-Burrows.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.01.25-Burrows.pdf,1997.01.25,1997.01.25,4040.0,No
1997.01.20,January,1997,Unprovoked,Australia,Western Australia,Geraldton,Windsurfing,M,"Daily Telegraph, 1/22/1997, p.1; H. Edwards, p.14-15",1997.01.20.a-Schonhofer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.01.20.a-Schonhofer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.01.20.a-Schonhofer.pdf,1997.01.20,1997.01.20,4039.0,Yes
1997.01.03.a,January,1997,Unprovoked,Reunion,Not specified,la Pointe-au-Sel,Spearfishing,M,"Clicanoo, le journal  de l'Ile de la Réunion",1997.01.03-Lonne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.01.03-Lonne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.01.03-Lonne.pdf,1997.01.03.a,1997.01.03.a,4038.0,Yes
1997.01.01,January,1997,Something in a boat activitie,Australia,Victoria,"Seal Rocks, Phillip Island",Watching,No specified,"The Advertiser, 1/3/1997, p.7",1997.01.01-Seal-island-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.01.01-Seal-island-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1997.01.01-Seal-island-boat.pdf,1997.01.01,1997.01.01,4037.0,No
1996.12.29,December,1996,Unprovoked,Australia,Queensland,Coolum Beach,Surfing,M,"The Advertiser, 12/30/1996, p.3",1996.12.29-BlairHall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.12.29-BlairHall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.12.29-BlairHall.pdf,1996.12.29,1996.12.29,4036.0,No
1996.12.10,December,1996,Unprovoked,South Africa,Eastern Cape Province,"Duck Pond, Sardina Bay near Port Elizabeth",Surfing,M,"A. Gifford, GSAF",1996.12.10-Cross.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.12.10-Cross.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.12.10-Cross.pdf,1996.12.10,1996.12.10,4035.0,No
1996.12.00.b,December,1996,Unprovoked,New Caledonia,Not specified,Not specified,Spearfishing,M,W. Leander,1996.12.00.b-Wadra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.12.00.b-Wadra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.12.00.b-Wadra.pdf,1996.12.00.b,1996.12.00.b,4034.0,Yes
1996.12.00.a,December,1996,Unprovoked,New Caledonia,South Province,L'llot Maetre,Attempting,F,W. Leander,1996.12.00.a-NewCaledonia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.12.00.a-NewCaledonia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.12.00.a-NewCaledonia.pdf,1996.12.00.a,1996.12.00.a,4033.0,No
1996.11.29.a,November,1996,Unprovoked,Usa,California,"Salmon Creek Beach, Sonoma County",Surfing,M,"R. Collier, p.158",1996.11.29-Ferry_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.11.29-Ferry_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.11.29-Ferry_Collier.pdf,1996.11.29.a,1996.11.29.a,4032.0,No
1996.11.18,November,1996,Unprovoked,Usa,Florida,"Coral Cove Park, Palm Beach County",Surfing,M,"Jupiter Courier, 11/20/1996",1996.11.18-Urban.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.11.18-Urban.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.11.18-Urban.pdf,1996.11.18,1996.11.18,4031.0,No
1996.10.28.b,October,1996,Unprovoked,Brazil,Pernambuco,Barra de Jangada,Surfing,No specified,D. Duarte,1996.10.28.b-deFrietas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.28.b-deFrietas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.28.b-deFrietas.pdf,1996.10.28.b,1996.10.28.b,4030.0,No
1996.10.28.a,October,1996,Unprovoked,Brazil,Pernambuco,Barra de Jangada,Surfing,M,JCOnline,1996.10.28.a-Messias.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.28.a-Messias.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.28.a-Messias.pdf,1996.10.28.a,1996.10.28.a,4029.0,No
1996.10.09,October,1996,Unprovoked,Okinawa,Miyako Island,Boragawa Beach,Swimmingorsnorkeling,M,"Okinawa Weekly  Times, 10/14/1996 ",1996.10.09-Okinawa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.09-Okinawa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.09-Okinawa.pdf,1996.10.09,1996.10.09,4028.0,Yes
1996.10.05.,October,1996,Unprovoked,Usa,California,"Dillon Beach, Marin County",Surfing,M,"R. Collier, pp.156-157",1996.10.05-Quirt_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.05-Quirt_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.05-Quirt_Collier.pdf,1996.10.05.,1996.10.05.,4027.0,No
1996.10.03.b,October,1996,Unprovoked,Usa,Florida,"Cocoa Beach, Brevard County",Surfing,M,"Orlando Sentinel, 10/4/1996",1996.10.03.b-Hollingsworth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.03.b-Hollingsworth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.03.b-Hollingsworth.pdf,1996.10.03.b,1996.10.03.b,4026.0,No
1996.10.03.a,October,1996,Unprovoked,Usa,California,"North Salmon Creek Beach, Sonoma County",Surfing,M,R. Collier       http://www.sharkresearchcommittee.com/unprovoked_surfer.htm,1996.10.03.a-Cahill_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.03.a-Cahill_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.03.a-Cahill_Collier.pdf,1996.10.03.a,1996.10.03.a,4025.0,No
1996.10.00,October,1996,Unprovoked,Brazil,Pernambuco,Not specified,not specified,No specified,D. Duarte,1996.10.00-NV-Josebias.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.00-NV-Josebias.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.10.00-NV-Josebias.pdf,1996.10.00,1996.10.00,4024.0,No
1996.09.18,September,1996,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Swimming,M,"S. Petersohn, GSAF; Orlando Sentinel, 9/19/1996, p.D3; Tallahassee Democrat, 9/20/1996",1996.09.18-RobertGary.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.18-RobertGary.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.18-RobertGary.pdf,1996.09.18,1996.09.18,4023.0,No
1996.09.06.b,September,1996,Unprovoked,New Zealand,Chatham Islands ,Waihere Bay,Diving,M,"R.D. Weeks, GSAF; Otago Daily Times,  9/7/1996, p.2
",1996.09.06.b-Vaughn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.06.b-Vaughn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.06.b-Vaughn.pdf,1996.09.06.b,1996.09.06.b,4022.0,No
1996.09.06.a,September,1996,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Surfingswimming,M,"S. Petersohn, GSAF; Orlando Sentinel , 9//7/1996; Daytona Beach News Journal, 9/7/1996, p.4C ",1996.09.06.a-Perkins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.06.a-Perkins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.06.a-Perkins.pdf,1996.09.06.a,1996.09.06.a,4021.0,No
1996.09.02.b,September,1996,Unprovoked,Usa,Florida,"Behune Beach, Volusia County",Standing,M,"S. Petersohn, GSAF; Orlando Sentinel , 9//7/1996; Daytona Beach News Journal, 9/7/1999, p.4C",1996.09.02.b-Schwall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.02.b-Schwall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.02.b-Schwall.pdf,1996.09.02.b,1996.09.02.b,4020.0,No
1996.09.02.a,September,1996,Unprovoked,Usa,Florida,"Bethune Beach, Volusia County",Sitting,M,"S. Petersohn, GSAF; Daytona Beach News Journal, 9/3/1999, pp. 2D & 4D, 9/7/1999, p.4C",1996.09.02.a-Volz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.02.a-Volz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.02.a-Volz.pdf,1996.09.02.a,1996.09.02.a,4019.0,No
1996.09.01.b,September,1996,Invalid,Usa,South Carolina,"Garden City Beach, Horry County",Boogieboarding,F,"The Sun, 9/2/1996",1996.09.01.b-GardenCity.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.01.b-GardenCity.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.01.b-GardenCity.pdf,1996.09.01.b,1996.09.01.b,4018.0,not specified
1996.09.01.a,September,1996,Provoked,South Africa,KwaZulu-Natal,Hibberdene,Spearfishing,M,"A. Gifford, GSAF",1996.09.01.a-Plaganyi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.01.a-Plaganyi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.09.01.a-Plaganyi.pdf,1996.09.01.a,1996.09.01.a,4017.0,No
1996.08.29,August,1996,Unprovoked,Usa,Hawaii,"Paukukalo, Maui",Bodyboarding,M,"Allen, p.117",1996.08.29-Nanod.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.08.29-Nanod.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.08.29-Nanod.pdf,1996.08.29,1996.08.29,4016.0,No
1996.08.13,August,1996,Unprovoked,Usa,California,"Bird Rock, Tomales Point",Freediving,M,"R. Collier, pp.154-155      ",1996.08.13-Tinley_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.08.13-Tinley_Collier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.08.13-Tinley_Collier.pdf,1996.08.13,1996.08.13,4015.0,No
1996.08.11,August,1996,Unprovoked,Usa,Florida,"Bayshore Garden, Sarasota Bay, Sarasota County",Wadefishing,M,"Bradenton Herald, 8/12/1996, p.L2",1996.08.11-Jason King.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.08.11-Jason King.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.08.11-Jason King.pdf,1996.08.11,1996.08.11,4014.0,No
1996.07.26,July,1996,Unprovoked,Usa,Florida,"Wiggins Pass, Collier County",Standing,F,Press clipping,1996.07.26-NV-WigginsPass.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.26-NV-WigginsPass.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.26-NV-WigginsPass.pdf,1996.07.26,1996.07.26,4013.0,No
1996.07.23.b,July,1996,Unprovoked,Okinawa,Miyako,Hirara City,Swimming,M,"press clippings ; Okinawa Weekly  Times, 10/14/1996 ",1996.07.23.b-Takehara.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.23.b-Takehara.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.23.b-Takehara.pdf,1996.07.23.b,1996.07.23.b,4012.0,Yes
1996.07.23.a,July,1996,Unprovoked,Egypt Israel,"South Sinai, Gulf of Aqaba","1 km off the mouth of Marsa Bereika, north of Ras Mohammed",Freediving,M,"Daily Telegraph, 7/26/1996, p.15; K. Lavalli & O. Goffman",1996.07.23.a-Richardson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.23.a-Richardson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.23.a-Richardson.pdf,1996.07.23.a,1996.07.23.a,4011.0,No
1996.07.21,July,1996,Unprovoked,Usa,Massachusetts,"Truro (Cape Cod), Barnstable County",Swimming,M,"Associated Press, 7/23/1996",1996.07.21-Orlowski.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.21-Orlowski.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.21-Orlowski.pdf,1996.07.21,1996.07.21,4010.0,No
1996.07.20,July,1996,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",Swimming,M,"S. Petersohn, GSAF",1996.07.20-K.O.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.20-K.O.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.20-K.O.pdf,1996.07.20,1996.07.20,4009.0,No
1996.07.14,July,1996,Unprovoked,Usa,Hawaii,"Nakalele Point, Maui",not specified,No specified,G. Balazs,1996.07.14-NV-TrimurtiDay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.14-NV-TrimurtiDay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.14-NV-TrimurtiDay.pdf,1996.07.14,1996.07.14,4008.0,No
1996.07.10,July,1996,Unprovoked,Usa,Florida,"New Smyrna Beach, Volusia County",not specified,M,"S. Petersohn, GSAF",1996.07.10-Lewis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.10-Lewis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.10-Lewis.pdf,1996.07.10,1996.07.10,4007.0,No
1996.07.04.b,July,1996,Unprovoked,Usa,Florida,"Public Beach, Siesta Key, Sarasota County",Standing,F,"G. Nansen; Sarasota Herald-Tribune (FL), 7/5/1996",1996.07.04.b-Dilberto.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.04.b-Dilberto.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.04.b-Dilberto.pdf,1996.07.04.b,1996.07.04.b,4006.0,No
1996.07.04.a,July,1996,Unprovoked,Bahamas,Cat Cay,Not specified,Diving,M,"G. Nansen, D. McGee; Miami Herald, 7/5/1996 ",1996.07.04.a-Beach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.04.a-Beach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.07.04.a-Beach.pdf,1996.07.04.a,1996.07.04.a,4005.0,No
1996.06.25,June,1996,Unprovoked,Usa,South Carolina,"Fripp Island, Beaufort County",Bodysurfing,F,"C. Creswell, GSAF; Macon Telegraph, 6/17/1996",1996.06.25-Shannon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.06.25-Shannon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.06.25-Shannon.pdf,1996.06.25,1996.06.25,4004.0,No
1996.06.06,June,1996,Unprovoked,Australia,Victoria,"Suicide Point, Point Leo",Surfing,M,"P. Anderson, Herald Sun, 6/8/1996, p.7 ",1996.06.06-Lucas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.06.06-Lucas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.06.06-Lucas.pdf,1996.06.06,1996.06.06,4003.0,No
1996.06.04,June,1996,Unprovoked,South Africa,KwaZulu-Natal,LaMercy,Surfing,M,ZigZag Magazine,1996.06.04-JustinSanders.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.06.04-JustinSanders.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.06.04-JustinSanders.pdf,1996.06.04,1996.06.04,4002.0,No
1996.05.28,May,1996,Unprovoked,South Africa,Western Cape Province,"The Steps, Wilderness",Surfing,M,"A. Gifford, GSAF",1996.05.28-Kohne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.05.28-Kohne.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.05.28-Kohne.pdf,1996.05.28,1996.05.28,4001.0,No
1996.05.24,May,1996,Invalid,Australia,New South Wales,"Wreck of paddle steamer, Koputai, 6 km off Bondi Beach",Techdiving,M,"Daily Telegraph, 5/29/1996, p.5 & 6/8/1996, p.15; H. Edwards, pp. 9-15",1996.05.24-Bowring.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.05.24-Bowring.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.05.24-Bowring.pdf,1996.05.24,1996.05.24,4000.0,Yes
1996.05.18,May,1996,Unprovoked,Usa,Florida,"South of Ponce Inlet, Volusia County",Surfing,M,"S. Petersohn, GSAF; Orlando Sentinel; Daytona Beach News Journal, 5/19/1996, p.1A ",1996.05.18-Rebel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.05.18-Rebel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.05.18-Rebel.pdf,1996.05.18,1996.05.18,3999.0,No
1996.05.10,May,1996,Unprovoked,South Korea,Not specified,Not specified,Shelldiving,M,Y. Choi & K. Nakaya,1996.05.10-LeeKwan-seok.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.05.10-LeeKwan-seok.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.05.10-LeeKwan-seok.pdf,1996.05.10,1996.05.10,3998.0,Yes
1996.05.07,May,1996,Unprovoked,Usa,Florida,"Shark Shallows, Ponce Inlet, Volusia County",Surfing,M,"S. Petersohn, GSAF; G. Nansen;  P.LaMee, Orlando Sentinel, 5/8/1996, p.B3; Daytona Beach News Journal, 5/8/1996, p.1D",1996.05.07-Grunewald.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.05.07-Grunewald.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.05.07-Grunewald.pdf,1996.05.07,1996.05.07,3997.0,No
1996.04.28.b,April,1996,Unprovoked,Usa,Hawaii,"La'ie Point, O'ahu",not specified,M,G. Balazs,1996.04.28.b-Leong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.04.28.b-Leong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.04.28.b-Leong.pdf,1996.04.28.b,1996.04.28.b,3996.0,No
1996.04.25.b,April,1996,Unprovoked,Australia,New South Wales,Mona Vale,Swimming,M,"Daily Telegraph, 4/26/1996, p.9",1996.04.25.b-Baker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.04.25.b-Baker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.04.25.b-Baker.pdf,1996.04.25.b,1996.04.25.b,3995.0,No
1996.04.25.a,April,1996,Unprovoked,Australia,New South Wales,Mona Vale,Swimming,F,"Daily Telegraph, 4/26/1996, p.9",1996.04.25.a-Hamaea.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.04.25.a-Hamaea.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1996.04.25.a-Hamaea.pdf,1996.04.25.a,1996.04.25.a,3994.0,No
